file,config,target_len,actual_pt,variant,depth,true_code,answer,correct,word_present,digits_present,wall_s,error
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2864,ask,0.4,TUNDRA-3711,TUNDRA-3711,True,True,True,84.2,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2864,ask,0.5,TUNDRA-3711,TUNDRA-3711,True,True,True,31.8,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2865,ask,0.58,TUNDRA-3711,TUNDRA-3711,True,True,True,32.0,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2863,ask,0.66,TUNDRA-3711,TUNDRA-3711,True,True,True,30.8,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2865,ask,0.75,TUNDRA-3711,TUNDRA-3711,True,True,True,30.0,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2864,ask,0.85,TUNDRA-3711,TUNDRA-3711,True,True,True,30.6,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,3072,2863,ask,0.95,TUNDRA-3711,TUNDRA-3711,True,True,True,31.2,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,8192,9685,ask,0.175,PELICAN-1605,PELICAN_GROUP_500_IS_5_PHASE_2_345_OVERLAPPING,False,True,False,109.6,
needle_boundary_20260801T122658Z.json,fp8 topk512 chunk1056 graphs,8192,9685,ask,0.24,PELICAN-1605,PELICAN-1234,False,True,False,105.4,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,3072,2864,ask,0.5,TUNDRA-3711,TUNDRA-3711,True,True,True,59.5,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,5120,5100,ask,0.5,FALCON-1042,FALCON,False,True,False,98.5,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,6144,6650,ask,0.5,PUMICE-7544,PUMICE-7544,True,True,True,127.0,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,7168,8316,ask,0.5,SAFFRON-7888,SAFFRON-1206,False,True,False,163.4,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,7936,9376,ask,0.5,CYPRESS-0074,CYAN-42,False,False,False,184.5,
needle_chunk528_20260801T134601Z.json,fp8 topk512 chunk528 graphs,8192,9686,ask,0.5,PELICAN-1605,PELICAN-1234,False,True,False,181.9,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,3072,2864,ask,0.5,TUNDRA-3711,TUNDRA-3711,True,True,True,52.8,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,5120,5100,ask,0.5,FALCON-1042,FALCON,False,True,False,59.5,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,6144,6650,ask,0.5,PUMICE-7544,PUMICE-7542,False,True,False,81.2,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,7168,8316,ask,0.5,SAFFRON-7888,SAFFRON-7888,True,True,True,91.1,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,7936,9376,ask,0.5,CYPRESS-0074,CYPRESS-1234,False,True,False,103.7,
needle_int8_eager_20260801T130145Z.json,INT8-NoPE topk512 chunk1056 EAGER kv2GiB,8192,9686,ask,0.5,PELICAN-1605,PELICAN-1234,False,True,False,113.5,
needle_ixtrace_ask.json,fp8 topk512 chunk1056 graphs +ranktrace,8192,,ask,[0.5],PELICAN-1605,PELICAN-1234,False,True,False,128.87,
needle_logprobs_8k_20260801T112338Z.json,fp8 topk512 chunk1056 graphs,4096,3909,ask,0.5,ZEPHYR-5384,ZEPHYR-5384,True,True,True,39.3,
needle_logprobs_8k_20260801T112338Z.json,fp8 topk512 chunk1056 graphs,8192,9686,ask,0.5,PELICAN-1605,PELICAN-1234,False,True,False,99.7,
needle_logprobs_8k_20260801T112338Z.json,fp8 topk512 chunk1056 graphs,8192,9686,ask,0.5,PELICAN-1605,PELICAN-1234,False,True,False,98.4,
needle_logprobs_8k_20260801T112338Z.json,fp8 topk512 chunk1056 graphs,8192,9691,yesno,0.5,PELICAN-1605,yes,False,False,False,98.2,
needle_logprobs_8k_20260801T112338Z.json,fp8 topk512 chunk1056 graphs,8192,9684,spell,0.5,PELICAN-1605,"P E L I C A N  
P E L I C A N  
P E L I C A N  
P E L I C A ",False,False,False,98.9,
needle_logprobs_ctrl_20260801T113740Z.json,fp8 topk512 chunk1056 graphs,8192,9686,ask,0.98,PELICAN-1605,PELICAN,False,True,False,98.4,
needle_logprobs_ctrl_20260801T113740Z.json,fp8 topk512 chunk1056 graphs,8192,9686,ask,0.02,PELICAN-1605,PELICAN-1605,True,True,True,96.5,
needle_logprobs_ctrl_20260801T113740Z.json,fp8 topk512 chunk1056 graphs,8192,9691,yesno_neg,0.5,PELICAN-1605,"no

The project access code is P",False,False,False,98.8,
needle_nospec_ask.json,?,8192,,ask,,,,,,,,HTTPError: HTTP Error 500: Internal Server Error
needle_nospec_digitsonly.json,?,8192,,digitsonly,,,,,,,,URLError: <urlopen error [Errno 111] Connection refused>
needle_onset_20260801T110302Z.json,?,4096,4192,ask,0.5,ZEPHYR-5384,The project access code is **ZEPHYR-5384**.,True,,,42.21,
needle_onset_20260801T110302Z.json,?,8192,10374,ask,0.5,PELICAN-1605,PELICAN PELICAN PELICAN PELICAN PELICAN PELICAN,False,,,101.15,
needle_onset_20260801T110302Z.json,?,12288,14902,ask,0.5,LANTERN-7358,"LANTERN-2024-10-31-Wi-Fi-secret-code-is-""Sculpting-a-data-sy",False,,,148.7,
needle_pos2_digitsonly.json,fp8 topk512 chunk1056 graphs,8192,,digitsonly,[0.5],PELICAN-1605,1605,True,False,True,124.55,
needle_pos2_digitspad.json,fp8 topk512 chunk1056 graphs,8192,,digitspad,[0.5],PELICAN-1605,"THE FINAL FOUR DIGITS ARE 1605</digits>  
THE FINAL FOUR DIG",True,False,True,116.09,
needle_pos_digitsonly.json,fp8 topk512 chunk1056 graphs,8192,,digitsonly,[0.5],PELICAN-1605,1605,True,False,True,103.77,
needle_pos_firstword.json,fp8 topk512 chunk1056 graphs,8192,,firstword,[0.5],PELICAN-1605,pelican,True,True,False,101.29,
needle_sweep_20260801T103931Z.json,?,2048,2019,ask,0.5,LANTERN-7356,LANTERN-7356,True,,,20.34,
needle_sweep_20260801T103931Z.json,?,16384,19713,ask,0.5,PELICAN-3738,PELICAN,False,,,196.38,
needle_sweep_20260801T103931Z.json,?,32768,38222,ask,0.5,CYPRESS-0527,CYPHER,False,,,400.9,
needle_sweep_20260801T103931Z.json,?,49152,59166,ask,0.5,LANTERN-2037,LANTERN-9-9-9-9-9-9-9-9-9-9-9,False,,,621.02,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,3072,2864,ask,0.5,TUNDRA-3711,TUNDRA-3711,True,True,True,56.4,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,5120,5100,ask,0.5,FALCON-1042,FALCON-1042,True,True,True,88.1,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,6144,6650,ask,0.5,PUMICE-7544,PUMICE-7544,True,True,True,117.2,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,7168,8316,ask,0.5,SAFFRON-7888,SAFFRON-7888,True,True,True,148.1,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,7936,9376,ask,0.5,CYPRESS-0074,CYPRESS-0074,True,True,True,164.1,
needle_topk2048_20260801T141215Z.json,fp8 topk2048 chunk528 graphs,8192,9686,ask,0.5,PELICAN-1605,PELICAN-1605,True,True,True,171.6,
needle_topk2048_long_20260801T142548Z.json,fp8 topk2048 chunk528 graphs,12288,13988,ask,0.5,LANTERN-7358,LANTERN-7358,True,True,True,249.1,
needle_topk2048_long_20260801T142548Z.json,fp8 topk2048 chunk528 graphs,16384,18559,ask,0.5,PELICAN-3738,PELICAN-3738,True,True,True,328.5,
needle_topk2048_long_20260801T142548Z.json,fp8 topk2048 chunk528 graphs,32768,35825,ask,0.5,CYPRESS-0527,CYBERTRON,False,False,False,657.4,
needle_topk2048_long_20260801T142548Z.json,fp8 topk2048 chunk528 graphs,49152,,ask,0.5,,,,,,,timed out
needle_totallen_20260801T123553Z.json,fp8 topk512 chunk1056 graphs,5120,5100,ask,0.5,FALCON-1042,FALCON,False,True,False,54.9,
needle_totallen_20260801T123553Z.json,fp8 topk512 chunk1056 graphs,6144,6650,ask,0.5,PUMICE-7544,PUMICE-7541,False,True,False,77.5,
needle_totallen_20260801T123553Z.json,fp8 topk512 chunk1056 graphs,7168,8316,ask,0.5,SAFFRON-7888,SAFFRON-7888,True,True,True,92.4,
needle_totallen_20260801T123553Z.json,fp8 topk512 chunk1056 graphs,7936,9376,ask,0.5,CYPRESS-0074,CYPRESS-0120,False,True,False,99.9,
needle_variants_fp8_20260801T114419Z.json,fp8 topk512 chunk1056 graphs,8192,9689,words,,,ZEPHYR-ORYX-CORYX,False,,,102.5,
needle_variants_fp8_20260801T114419Z.json,fp8 topk512 chunk1056 graphs,8192,9677,repeat,,,PELICAN-305,False,,,101.6,
needle_variants_fp8_20260801T114419Z.json,fp8 topk512 chunk1056 graphs,8192,9691,verbose,,,PELICAN-1606,False,,,104.3,
